v2r_fpr,v2r_tpr,rho_fpr,rho_tpr
0.948170731707317,0.990521327014218,0.6666666666666666,0.8939828080229226
0.948170731707317,0.991875423155044,0.6747967479674797,0.8982808022922636
0.9496951219512195,0.991875423155044,0.6802168021680217,0.9025787965616046
0.9542682926829268,0.99322951929587,0.6883468834688347,0.9068767908309455
0.9557926829268293,0.99322951929587,0.6937669376693767,0.9083094555873925
0.9588414634146342,0.993906567366283,0.7154471544715447,0.9097421203438395
0.961890243902439,0.993906567366283,0.7208672086720868,0.9140401146131805
0.9634146341463414,0.994583615436696,0.7289972899728997,0.9154727793696275
0.9664634146341463,0.995260663507109,0.7371273712737128,0.9183381088825215
0.9664634146341463,0.996614759647935,0.7398373983739838,0.9226361031518625
0.9695121951219512,0.996614759647935,0.7398373983739838,0.9269340974212035
0.9740853658536586,0.996614759647935,0.7533875338753387,0.9269340974212035
0.9801829268292683,0.997968855788761,0.7560975609756098,0.9340974212034384
0.9832317073170732,0.997968855788761,0.7642276422764228,0.9369627507163324
0.9862804878048781,0.998645903859174,0.7750677506775068,0.9398280802292264
0.9862804878048781,0.999322951929587,0.7831978319783198,0.9412607449856734
0.989329268292683,0.999322951929587,0.7940379403794038,0.9426934097421203
0.9923780487804879,0.999322951929587,0.7994579945799458,0.9441260744985673
0.9954268292682927,0.999322951929587,0.8102981029810298,0.9469914040114613
0.9984756097560976,1.0,0.8238482384823849,0.9484240687679083
1.0,1.0,0.8319783197831978,0.9527220630372493
,,0.8455284552845529,0.9570200573065902
,,0.8563685636856369,0.9627507163323782
,,0.8699186991869918,0.9641833810888252
,,0.8780487804878049,0.9656160458452722
,,0.8888888888888888,0.9713467048710601
,,0.8997289972899729,0.9727793696275072
,,0.907859078590786,0.9742120343839542
,,0.9132791327913279,0.9742120343839542
,,0.9159891598915989,0.9756446991404012
,,0.924119241192412,0.9799426934097422
,,0.9349593495934959,0.9828080229226361
,,0.940379403794038,0.9842406876790831
,,0.948509485094851,0.9842406876790831
,,0.9566395663956639,0.9871060171919771
,,0.964769647696477,0.9885386819484241
,,0.967479674796748,0.9899713467048711
,,0.9728997289972899,0.9899713467048711
,,0.986449864498645,0.994269340974212
,,0.991869918699187,0.995702005730659
,,0.991869918699187,0.997134670487106
,,0.997289972899729,0.997134670487106
,,0.997289972899729,0.998567335243553
,,1.0,0.998567335243553
,,1.0,1.0
